Population,Family_ID,Seed,label,Time_to_germination,Row,Column,Days_to_flower,Num_Inf,HCN_Results,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_petiole_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_stolon_thick,Avg_seeds_per_flower,Latitude,Longitude,Distance_to_core,Distance_to_cg
11,3,4,11-3-4,4,16,20,73,11,0,1.3638,7.2994,3.9366666666666665,6.246666666666666,330,58.64333333333333,43,13.173333333333334,12.566666666666666,1.145,3.5035919540229887,43.663863,-79.585551,16.533738844636368,14.156643177241694
16,2,1,16-2-1,3,16,21,69,6,1,0.18480000000000008,6.070400000000001,3.735,6.56,723.3333333333334,141.84333333333333,60.5,10.726666666666667,15.06,1.585,NA,43.61094,-79.688052,25.27159407214257,7.146088704825881
4,8,2,4-8-2,6,16,22,63,25,0,2.4518,4.279400000000001,3.455,5.901666666666666,286.6666666666667,100.07666666666667,46.5,9.74,10.403333333333334,1.27,3.6637803067788224,43.704239,-79.4265,6.515807621583965,25.638252065753385
16,4,1,16-4-1,4,16,23,66,6,1,1.5737999999999999,4.8384,4.115,6.376666666666667,423.3333333333333,121.34,55,11.76,11.766666666666667,1.35,4.494741784037559,43.61094,-79.688052,25.27159407214257,7.146088704825881
19,7,3,19-7-3,3,16,24,61,25,0,3.0748,2.5994,3.08,5.3116666666666665,580,115.66333333333334,40,12.023333333333333,14.133333333333335,1.37,3.482638888888889,43.546982,-79.720703,29.97539430161768,4.697320808697932
3,4,3,3-4-3,5,16,25,50,34,0,2.1838,4.6684,3.6316666666666664,5.908333333333333,393.3333333333333,83,37,9.963333333333333,11.556666666666667,1.1400000000000001,3.2687747035573125,43.683698,-79.421095,4.492586326551475,24.509794771746183
4,3,5,4-3-5,9,16,26,73,7,0,0.6208000000000005,8.7664,3.3916666666666666,5.743333333333333,410,112.38499999999999,NA,12.426666666666666,14.46,1.275,NA,43.704239,-79.4265,6.515807621583965,25.638252065753385
8,8,1,8-8-1,4,16,27,67,25,0,2.3328,3.3073999999999995,3.63,6.081666666666667,566.6666666666666,131.25333333333333,59.5,15.700000000000001,15.833333333333334,1.3599999999999999,NA,43.701041,-79.511142,11.648537370864588,20.803590289148442
23,1,1,23-1-1,4,16,28,73,10,0,0.35080000000000044,6.5434,3.52,6.496666666666667,416.6666666666667,70.17,NA,8.263333333333334,9.486666666666668,1.08,NA,43.453719,-79.757534,37.82230438666279,13.111632056401957
14,7,2,14-7-2,4,16,29,66,24,0,2.7348000000000003,3.4933999999999994,3.585,6.433333333333334,510,156.02333333333334,39.5,11.933333333333334,12.933333333333334,1.23,1.2707446808510638,43.627471,-79.65002,21.936116076110327,8.739887353969236
11,6,4,11-6-4,11,16,30,NA,0,0,0,4.2894000000000005,NA,NA,426.6666666666667,NA,0,7.8,9,0.845,NA,43.663863,-79.585551,16.533738844636368,14.156643177241694
24,8,3,24-8-3,7,16,31,62,7,0,0.6258000000000004,2.907400000000001,3.453333333333333,5.613333333333333,460,92.26666666666667,41.5,11.5,11.47,1.12,NA,43.444847,-79.800063,41.184706639575694,16.06986639751832
6,8,4,6-8-4,5,16,32,44,30,0,2.6608000000000005,2.3484,3.77,6.593333333333334,350,113.13666666666667,59,10.186666666666667,11.733333333333333,1.25,1.8503134796238245,43.713711000000004,-79.466545,9.440961875831535,24.136939503015775
27,8,5,27-8-5,3,17,1,53,30,0,3.0738,5.666399999999999,3.67,6.095,436.6666666666667,80.20666666666668,64.5,11.033333333333333,13.8,1.6600000000000001,3.597309573724668,43.400155,-79.848595,47.27917025686753,22.37937676040562
23,5,4,23-5-4,3,17,2,60,38,1,3.8948000000000005,3.6174,3.69,5.676666666666667,433.3333333333333,127.97666666666666,60,11.556666666666667,14.4,1.2149999999999999,3.6310331825037707,43.453719,-79.757534,37.82230438666279,13.111632056401957
7,4,2,7-4-2,8,17,3,60,13,0,1.2218000000000004,3.6974,3.881666666666667,6.5216666666666665,490,117.64666666666666,42,13.766666666666666,16.4,1.3900000000000001,4.206597222222222,43.70646,-79.486262,10.19629667047448,22.500341511520208
11,1,2,11-1-2,4,17,4,65,16,0,1.0168000000000004,2.8984000000000005,3.02,5.61,516.6666666666666,75.68666666666667,35,9.766666666666666,11.133333333333333,0.94,2.9099223946784925,43.663863,-79.585551,16.533738844636368,14.156643177241694
12,3,5,12-3-5,4,17,5,73,15,1,0.37680000000000025,2.8864,3.3866666666666667,6.205,740,119.67,NA,15.166666666666668,16.866666666666667,1.76,NA,43.652785,-79.610406,18.51599892153233,12.238307389101594
26,1,3,26-1-3,3,17,6,60,20,1,0.9668000000000005,2.3034,3.26,5.871666666666667,436.6666666666667,77.94666666666667,31.5,12.266666666666666,13.933333333333334,1.5899999999999999,NA,43.414687,-79.832589,45.27544397596537,20.31390823719724
20,7,5,20-7-5,5,17,7,63,1,0,0.07680000000000042,1.4284,3.34,5.836666666666667,400,68.17,21,7.766666666666667,8.833333333333334,1.29,NA,43.518649,-79.75084,33.52969169255897,7.898377046421379
14,1,5,14-1-5,4,17,8,66,14,0,1.6148000000000002,3.1684,3.705,6.461666666666667,496.6666666666667,145.22,56,12.806666666666667,14.033333333333333,1.105,3.8690476190476195,43.627471,-79.65002,21.936116076110327,8.739887353969236
13,7,2,13-7-2,5,17,9,73,10,0,0.6268000000000002,2.1784,3.04,5.05,260,57.18666666666667,NA,7.773333333333333,8.766666666666667,1.16,NA,43.641963,-79.631233,20.25081019161363,10.596965947834507
21,6,4,21-6-4,7,17,10,60,6,1,0.08080000000000043,2.6074,3.4766666666666666,5.82,530,96.83666666666667,55.5,10.9,11.966666666666667,1.405,3.041118421052632,43.501561,-79.759063,35.016636139451414,9.427756008660761
19,8,5,19-8-5,3,17,11,64,32,1,3.3658000000000006,3.5264000000000006,3.9066666666666667,6.573333333333333,473.3333333333333,91.00333333333333,39,11.106666666666667,12.55,1.365,2.3947368421052633,43.546982,-79.720703,29.97539430161768,4.697320808697932
2,1,1,2-1-1,3,17,12,64,12,1,1.3878,6.1684,4.0649999999999995,6.766666666666667,463.3333333333333,88.54,58,12.193333333333333,12.556666666666667,1.62,1.8871889024887802,43.663683,-79.411443,2.643358115446909,23.877854402711133
5,5,4,5-5-4,4,17,13,78,10,0,0.8348000000000004,5.760400000000001,3.785,6.611666666666666,500,126.61,NA,13.296666666666667,12.81,1.52,NA,43.722385,-79.426597,8.257243194042573,27.02718186329092
16,4,4,16-4-4,8,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.61094,-79.688052,25.27159407214257,7.146088704825881
23,2,4,23-2-4,3,17,15,74,7,0,1.0008000000000004,2.7764000000000006,3.513333333333333,6.2316666666666665,333.3333333333333,121.44,NA,9.656666666666666,10.133333333333333,0.97,NA,43.453719,-79.757534,37.82230438666279,13.111632056401957
15,5,4,15-5-4,4,17,16,68,18,0,1.3808000000000002,2.9044000000000008,3.4283333333333332,5.948333333333333,346.6666666666667,128.93333333333334,52.5,10.940000000000001,12.106666666666667,1.49,3.4583858764186632,43.616903,-79.669317,23.663587997705708,7.526631296860096
21,2,1,21-2-1,3,17,17,63,13,0,1.2568000000000006,3.849400000000001,3.296666666666667,5.5200000000000005,593.3333333333334,78.05666666666667,28,13.093333333333334,13.166666666666668,1.52,1.5412698412698411,43.501561,-79.759063,35.016636139451414,9.427756008660761
25,4,1,25-4-1,3,17,18,56,40,1,3.2268000000000003,4.449400000000001,3.8433333333333333,6.206666666666667,523.3333333333334,165.70333333333335,88,8.666666666666666,10.553333333333333,1.33,0.7085355987055016,43.432349,-79.829473,43.92776371111732,18.729344671748326
13,3,5,13-3-5,8,17,19,58,24,0,1.9068,3.8994,3.853333333333333,7.266666666666667,446.6666666666667,114.72,47,9.756666666666668,12.266666666666667,1.495,3.6363346104725416,43.641963,-79.631233,20.25081019161363,10.596965947834507
23,3,2,23-3-2,4,17,20,65,10,0,0.7328000000000001,6.0684000000000005,3.6533333333333333,6.341666666666667,286.6666666666667,114.73,40,11.88,12.533333333333333,1.23,2.6578947368421053,43.453719,-79.757534,37.82230438666279,13.111632056401957
17,5,3,17-5-3,3,17,21,63,15,0,1.5728000000000004,2.9274000000000004,3.8916666666666666,7.1866666666666665,456.6666666666667,149.38333333333333,52,11.39,14.056666666666667,1.4,2.314270152505447,43.58858,-79.69878,26.712604213541383,5.246219840707324
